Date,Low,Open,Volume,High,Close,Adjusted Close
29-06-2010,1.1693329811096191,1.2666670083999634,281494500,1.6666669845581055,1.5926669836044312,1.5926669836044312
30-06-2010,1.553333044052124,1.7193330526351929,257806500,2.0280001163482666,1.5886670351028442,1.5886670351028442
01-07-2010,1.3513330221176147,1.6666669845581055,123282000,1.7280000448226929,1.4639999866485596,1.4639999866485596
02-07-2010,1.24733304977417,1.5333329439163208,77097000,1.5399999618530273,1.2799999713897705,1.2799999713897705
06-07-2010,1.0553330183029175,1.3333330154418945,103003500,1.3333330154418945,1.0740000009536743,1.0740000009536743
07-07-2010,0.9986670017242432,1.0933330059051514,103825500,1.108667016029358,1.053333044052124,1.053333044052124
08-07-2010,1.0379999876022339,1.0759999752044678,115671000,1.1679999828338623,1.1640000343322754,1.1640000343322754
09-07-2010,1.1033329963684082,1.1720000505447388,60759000,1.1933330297470093,1.159999966621399,1.159999966621399
12-07-2010,1.1333329677581787,1.196666955947876,33037500,1.2046669721603394,1.136667013168335,1.136667013168335
13-07-2010,1.1266670227050781,1.1593329906463623,40201500,1.2426669597625732,1.2093329429626465,1.2093329429626465
14-07-2010,1.184000015258789,1.1959999799728394,62928000,1.3433330059051514,1.3226670026779175,1.3226670026779175
15-07-2010,1.2666670083999634,1.329332947731018,56097000,1.4333330392837524,1.3259999752044678,1.3259999752044678
16-07-2010,1.3366669416427612,1.3799999952316284,39319500,1.4199999570846558,1.3760000467300415,1.3760000467300415
19-07-2010,1.3946670293807983,1.4246670007705688,37297500,1.4833329916000366,1.4606670141220093,1.4606670141220093
20-07-2010,1.3366669416427612,1.4566669464111328,27379500,1.4566669464111328,1.3533329963684082,1.3533329963684082
21-07-2010,1.2999999523162842,1.3773330450057983,18787500,1.3933329582214355,1.3480000495910645,1.3480000495910645
22-07-2010,1.3580000400543213,1.3666670322418213,14367000,1.4166669845581055,1.399999976158142,1.399999976158142
